

[T:233414]$050403020155,260330080025665,113.93384,22.52489,-0.06873,-0.18140,0.97803,0.25000,0.04688,0.01563,0,0,0,0.358,0.248,1.331*

[T:233923]$050403020155,260330080025765,113.93384,22.52489,-0.06714,-0.18042,0.98022,-0.12500,0.00000,0.07813,0,0,0,0.354,0.245,1.331*

[T:234432]$050403020155,260330080026865,113.93384,22.52489,-0.06641,-0.18213,0.97937,-0.25000,-0.15625,-0.06250,0,0,0,0.358,0.245,1.331*

[T:234940]$050403020155,260330080026965,113.93384,22.52489,-0.06799,-0.18250,0.97925,-0.12500,0.10938,0.21875,0,0,0,0.354,0.248,1.331*

[T:235449]$050403020155,260330080026065,113.93384,22.52489,-0.06702,-0.18347,0.98059,0.00000,-0.03125,-0.03125,0,0,0,0.358,0.248,1.331*

[T:235958]$050403020155,260330080026165,113.93384,22.52489,-0.06824,-0.18152,0.97961,0.15625,-0.04688,-0.07813,0,0,0,0.358,0.248,1.334*

[T:236466]$050403020155,260330080026265,113.93384,22.52489,-0.06726,-0.18225,0.97900,0.10938,-0.03125,0.12500,0,0,0,0.354,0.248,1.334*

[T:236975]$050403020155,260330080026365,113.93384,22.52489,-0.06763,-0.18188,0.97839,0.12500,0.03125,-0.10938,0,0,0,0.354,0.245,1.331*

[T:237485]$050403020155,260330080026465,113.93384,22.52489,-0.06653,-0.18250,0.97815,-0.12500,-0.03125,0.06250,0,0,0,0.358,0.245,1.331*

[T:237994]$050403020155,260330080026565,113.93384,22.52489,-0.06714,-0.18188,0.97961,0.12500,-0.03125,-0.25000,0,0,0,0.354,0.248,1.331*

[T:238502]$050403020155,260330080026665,113.93384,22.52489,-0.06750,-0.18213,0.97876,-0.23438,0.35938,-0.10938,0,0,0,0.354,0.245,1.331*

